target_date,provider_id,currency_pair,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2026-07-16,central_tanshi,ZAR/JPY,セントラル短資FX,1.0,15.3,-15.3,7/17,success,2026/07/16
2026-07-16,gaitame,ZAR/JPY,外為どっとコム,1.0,14.0,-19.0,None,success,2026/07/16
2026-07-16,gmo,ZAR/JPY,GMO外貨,1.0,15.1,-15.1,None,success,2026/07/16
2026-07-16,gmo_click,ZAR/JPY,GMOクリック証券,1.0,13.0,-13.0,None,success,2026/07/16
2026-07-16,sbi,ZAR/JPY,SBI FXトレード,1.0,14.0,-14.0,07月21日,success,2026/07/16
2026-07-16,sony,ZAR/JPY,ソニーバンクFX,1.0,8.0,-10.0,None,success,2026/07/16
2026-07-16,traders_light,ZAR/JPY,LIGHT FX,1.0,14.2,-14.2,None,success,2026/07/16
2026-07-16,traders_min,ZAR/JPY,みんなのFX,1.0,15.3,-15.3,None,success,2026/07/16
2026-07-17,central_tanshi,ZAR/JPY,セントラル短資FX,1.0,None,None,None,success,2026/07/17
2026-07-17,gaitame,ZAR/JPY,外為どっとコム,1.0,None,None,None,success,2026/07/17
2026-07-17,gmo,ZAR/JPY,GMO外貨,1.0,None,None,None,success,2026/07/17
2026-07-17,gmo_click,ZAR/JPY,GMOクリック証券,1.0,None,None,None,success,2026/07/17
2026-07-17,sbi,ZAR/JPY,SBI FXトレード,1.0,14.0,-14.0,07月22日,success,2026/07/17
2026-07-17,sony,ZAR/JPY,ソニーバンクFX,1.0,None,None,None,success,2026/07/17
2026-07-17,traders_light,ZAR/JPY,LIGHT FX,1.0,14.2,-14.2,None,success,2026/07/16
2026-07-17,traders_min,ZAR/JPY,みんなのFX,1.0,15.3,-15.3,None,success,2026/07/16
2026-07-20,central_tanshi,ZAR/JPY,セントラル短資FX,1.0,15.3,-15.3,7/21,success,2026/07/20
2026-07-20,gaitame,ZAR/JPY,外為どっとコム,1.0,None,None,None,success,2026/07/20
2026-07-20,gmo,ZAR/JPY,GMO外貨,1.0,15.1,-15.1,None,success,2026/07/20
2026-07-20,gmo_click,ZAR/JPY,GMOクリック証券,1.0,13.0,-13.0,None,success,2026/07/20
2026-07-20,sbi,ZAR/JPY,SBI FXトレード,1.0,None,None,None,error,None
2026-07-20,sony,ZAR/JPY,ソニーバンクFX,1.0,None,None,None,error,None
2026-07-20,traders_light,ZAR/JPY,LIGHT FX,1.0,14.2,-14.2,None,success,2026/07/20
2026-07-20,traders_min,ZAR/JPY,みんなのFX,1.0,15.3,-15.3,None,success,2026/07/20
2026-07-21,central_tanshi,ZAR/JPY,セントラル短資FX,1.0,15.3,-15.3,7/22,success,2026/07/21
2026-07-21,gaitame,ZAR/JPY,外為どっとコム,1.0,14.0,-19.0,None,success,2026/07/21
2026-07-21,gmo,ZAR/JPY,GMO外貨,1.0,15.1,-15.1,None,success,2026/07/21
2026-07-21,gmo_click,ZAR/JPY,GMOクリック証券,1.0,13.0,-13.0,None,success,2026/07/21
2026-07-21,sbi,ZAR/JPY,SBI FXトレード,1.0,None,None,None,error,None
2026-07-21,sony,ZAR/JPY,ソニーバンクFX,1.0,None,None,None,error,None
2026-07-21,traders_light,ZAR/JPY,LIGHT FX,1.0,14.2,-14.2,None,success,2026/07/21
2026-07-21,traders_min,ZAR/JPY,みんなのFX,1.0,15.3,-15.3,None,success,2026/07/21
2026-07-22,central_tanshi,ZAR/JPY,セントラル短資FX,3.0,15.299999999999999,-15.299999999999999,7/23,success,2026/07/22
2026-07-22,gaitame,ZAR/JPY,外為どっとコム,3.0,14.0,-19.0,None,success,2026/07/22
2026-07-22,gmo,ZAR/JPY,GMO外貨,3.0,15.1,-15.1,None,success,2026/07/22
2026-07-22,gmo_click,ZAR/JPY,GMOクリック証券,3.0,13.0,-13.0,None,success,2026/07/22
2026-07-22,sbi,ZAR/JPY,SBI FXトレード,1.0,None,None,None,error,None
2026-07-22,sony,ZAR/JPY,ソニーバンクFX,3.0,None,None,None,error,None
2026-07-22,traders_light,ZAR/JPY,LIGHT FX,3.0,14.200000000000001,-14.200000000000001,None,success,2026/07/22
2026-07-22,traders_min,ZAR/JPY,みんなのFX,3.0,15.299999999999999,-15.299999999999999,None,success,2026/07/22
2026-07-23,central_tanshi,ZAR/JPY,セントラル短資FX,1.0,15.3,-15.3,7/24,success,2026/07/23
2026-07-23,gaitame,ZAR/JPY,外為どっとコム,1.0,14.0,-19.0,None,success,2026/07/23
2026-07-23,gmo,ZAR/JPY,GMO外貨,1.0,15.1,-15.1,None,success,2026/07/23
2026-07-23,gmo_click,ZAR/JPY,GMOクリック証券,1.0,13.0,-13.0,None,success,2026/07/23
2026-07-23,sbi,ZAR/JPY,SBI FXトレード,3.0,14.0,-14.0,07月27日,success,2026/07/23
2026-07-23,sony,ZAR/JPY,ソニーバンクFX,1.0,None,None,None,error,None
2026-07-23,traders_light,ZAR/JPY,LIGHT FX,1.0,14.2,-14.2,None,success,2026/07/23
2026-07-23,traders_min,ZAR/JPY,みんなのFX,1.0,15.3,-15.3,None,success,2026/07/23
