target_date,provider_id,currency_pair,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2026-02-26,dmm,USD/JPY,DMM FX,1.0,129.0,-132.0,02/26,success,2026/02/26
2026-02-26,gaitame,USD/JPY,外為どっとコム,1.0,125.0,-155.0,None,success,2026/02/26
2026-02-26,gmo,USD/JPY,GMO外貨,1.0,135.0,-135.0,None,success,2026/02/26
2026-02-26,gmo_click,USD/JPY,GMOクリック証券,1.0,135.0,-135.0,None,success,2026/02/26
2026-02-26,invast,USD/JPY,トライオートFX,1.0,130.0,-205.0,None,success,2026/02/26
2026-02-26,sbi,USD/JPY,SBI FXトレード,1.0,128.0,-136.0,03月02日,success,2026/02/26
2026-02-26,traders_light,USD/JPY,LIGHT FX,1.0,,,,error,
2026-02-26,traders_min,USD/JPY,みんなのFX,1.0,,,,error,
2026-02-27,central_tanshi,USD/JPY,セントラル短資FX,1.0,135.0,-234.0,3/2,success,2026/02/27
2026-02-27,dmm,USD/JPY,DMM FX,1.0,,,,error,
2026-02-27,gaitame,USD/JPY,外為どっとコム,1.0,,,,error,
2026-02-27,gmo,USD/JPY,GMO外貨,1.0,132.0,-132.0,None,success,2026/02/27
2026-02-27,gmo_click,USD/JPY,GMOクリック証券,1.0,132.0,-132.0,None,success,2026/02/27
2026-02-27,hirose,USD/JPY,ヒロセ通商,1.0,131.0,-161.0,None,success,2026/02/27
2026-02-27,invast,USD/JPY,トライオートFX,1.0,,,,error,
2026-02-27,jfx,USD/JPY,JFX,1.0,,,None,error,None
2026-02-27,sbi,USD/JPY,SBI FXトレード,1.0,127.0,-135.0,03月03日,success,2026/02/27
2026-02-27,traders_light,USD/JPY,LIGHT FX,1.0,125.0,-125.0,02/27,success,2026/02/27
2026-02-27,traders_min,USD/JPY,みんなのFX,1.0,125.0,-125.0,02/27,success,2026/02/27
2026-03-02,central_tanshi,USD/JPY,セントラル短資FX,1.0,,,,error,
2026-03-02,dmm,USD/JPY,DMM FX,1.0,129.0,-132.0,None,success,2026/03/02
2026-03-02,gaitame,USD/JPY,外為どっとコム,1.0,125.0,-155.0,,success,2026/03/02
2026-03-02,gmo,USD/JPY,GMO外貨,1.0,,,,success,2026/03/02
2026-03-02,gmo_click,USD/JPY,GMOクリック証券,1.0,133.0,-133.0,None,success,2026/03/02
2026-03-02,hirose,USD/JPY,ヒロセ通商,1.0,133.0,-163.0,None,success,2026/03/02
2026-03-02,invast,USD/JPY,トライオートFX,1.0,130.0,-205.0,,success,2026/03/02
2026-03-02,jfx,USD/JPY,JFX,1.0,,,,error,
2026-03-02,saxo,USD/JPY,サクソバンク証券,1.0,,,None,error,2026-03-02
2026-03-02,sbi,USD/JPY,SBI FXトレード,None,None,None,None,error,None
2026-03-02,traders_light,USD/JPY,LIGHT FX,1.0,125.0,-125.0,None,success,2026/03/02
2026-03-02,traders_min,USD/JPY,みんなのFX,1.0,125.0,-125.0,,success,2026/03/02
2026-03-03,central_tanshi,USD/JPY,セントラル短資FX,1.0,138.0,-237.0,,success,2026/03/03
2026-03-03,dmm,USD/JPY,DMM FX,1.0,130.0,-133.0,None,success,2026/03/03
2026-03-03,gaitame,USD/JPY,外為どっとコム,1.0,125.0,-155.0,,success,2026/03/03
2026-03-03,gmo,USD/JPY,GMO外貨,1.0,136.0,-136.0,None,success,2026/03/03
2026-03-03,gmo_click,USD/JPY,GMOクリック証券,1.0,134.0,-134.0,None,success,2026/03/03
2026-03-03,hirose,USD/JPY,ヒロセ通商,1.0,135.0,-165.0,None,success,2026/03/03
2026-03-03,invast,USD/JPY,トライオートFX,1.0,130.0,-205.0,None,success,2026/03/03
2026-03-03,jfx,USD/JPY,JFX,1.0,,,None,error,None
2026-03-03,saxo,USD/JPY,サクソバンク証券,1.0,,,None,error,2026-03-03
2026-03-03,sbi,USD/JPY,SBI FXトレード,1.0,127.0,-135.0,03月05日,success,2026/03/03
2026-03-03,traders_light,USD/JPY,LIGHT FX,1.0,135.0,-135.0,03/03,success,2026/03/03
2026-03-03,traders_min,USD/JPY,みんなのFX,1.0,135.0,-135.0,None,success,2026/03/03
2026-03-04,central_tanshi,USD/JPY,セントラル短資FX,1.0,138.0,-138.0,3/4,success,2026/03/04
2026-03-04,dmm,USD/JPY,DMM FX,1.0,130.0,-133.0,None,success,2026/03/04
2026-03-04,gaitame,USD/JPY,外為どっとコム,1.0,128.0,-158.0,,success,2026/03/04
2026-03-04,gmo,USD/JPY,GMO外貨,1.0,138.0,-138.0,,success,2026/03/04
2026-03-04,gmo_click,USD/JPY,GMOクリック証券,3.0,137.0,-137.0,None,success,2026/03/04
2026-03-04,hirose,USD/JPY,ヒロセ通商,3.0,137.0,-172.0,None,success,2026/03/04
2026-03-04,invast,USD/JPY,トライオートFX,1.0,130.0,-205.0,,success,2026/03/04
2026-03-04,jfx,USD/JPY,JFX,1.0,,,,error,
2026-03-04,saxo,USD/JPY,サクソバンク証券,1.0,,,None,error,2026-03-04
2026-03-04,sbi,USD/JPY,SBI FXトレード,1.0,128.0,-136.0,03月06日,success,2026/03/04
2026-03-04,traders_light,USD/JPY,LIGHT FX,1.0,135.0,-135.0,03/04,success,2026/03/04
2026-03-04,traders_min,USD/JPY,みんなのFX,3.0,135.0,-135.0,None,success,2026/03/04
2026-03-05,central_tanshi,USD/JPY,セントラル短資FX,1.0,139.0,-238.0,3/6,success,2026/03/05
2026-03-05,dmm,USD/JPY,DMM FX,1.0,133.0,-136.0,03/05,success,2026/03/05
2026-03-05,gaitame,USD/JPY,外為どっとコム,1.0,128.0,-158.0,3/5（木）,success,2026/03/05
2026-03-05,gmo,USD/JPY,GMO外貨,1.0,138.0,-138.0,None,success,2026/03/05
2026-03-05,gmo_click,USD/JPY,GMOクリック証券,1.0,137.0,-137.0,None,success,2026/03/05
2026-03-05,hirose,USD/JPY,ヒロセ通商,1.0,129.0,-159.0,None,success,2026/03/05
2026-03-05,invast,USD/JPY,トライオートFX,1.0,136.0,-211.0,,success,2026/03/05
2026-03-05,jfx,USD/JPY,JFX,1.0,,,,error,
2026-03-05,saxo,USD/JPY,サクソバンク証券,1.0,,,None,error,2026-03-05
2026-03-05,sbi,USD/JPY,SBI FXトレード,1.0,128.0,-136.0,03月09日,success,2026/03/05
2026-03-05,traders_light,USD/JPY,LIGHT FX,1.0,137.0,-137.0,None,success,2026/03/05
2026-03-05,traders_min,USD/JPY,みんなのFX,1.0,137.0,-137.0,03/05,success,2026/03/05
2026-03-06,central_tanshi,USD/JPY,セントラル短資FX,1.0,,,,error,
2026-03-06,dmm,USD/JPY,DMM FX,1.0,None,None,None,error,None
2026-03-06,gaitame,USD/JPY,外為どっとコム,1.0,,,,error,
2026-03-06,gmo,USD/JPY,GMO外貨,1.0,137.0,-137.0,None,success,2026/03/06
2026-03-06,gmo_click,USD/JPY,GMOクリック証券,1.0,136.0,-136.0,None,success,2026/03/06
2026-03-06,hirose,USD/JPY,ヒロセ通商,1.0,133.0,-163.0,None,success,2026/03/06
2026-03-06,invast,USD/JPY,トライオートFX,1.0,136.0,-211.0,,success,2026/03/06
2026-03-06,jfx,USD/JPY,JFX,1.0,,,,error,
2026-03-06,saxo,USD/JPY,サクソバンク証券,1.0,,,None,error,2026-03-06
2026-03-06,sbi,USD/JPY,SBI FXトレード,1.0,128.0,-136.0,03月10日,success,2026/03/06
2026-03-06,traders_light,USD/JPY,LIGHT FX,1.0,140.0,-140.0,None,success,2026/03/06
2026-03-06,traders_min,USD/JPY,みんなのFX,1.0,140.0,-140.0,03/06,success,2026/03/06
2026-03-09,central_tanshi,USD/JPY,セントラル短資FX,1.0,139.0,-238.0,3/10,success,2026/03/09
2026-03-09,dmm,USD/JPY,DMM FX,1.0,132.0,-135.0,None,success,2026/03/09
2026-03-09,gaitame,USD/JPY,外為どっとコム,1.0,131.0,-161.0,None,success,2026/03/09
2026-03-09,gmo,USD/JPY,GMO外貨,1.0,140.0,-140.0,03/09,success,2026/03/09
2026-03-09,gmo_click,USD/JPY,GMOクリック証券,1.0,137.0,-137.0,None,success,2026/03/09
2026-03-09,hirose,USD/JPY,ヒロセ通商,1.0,135.0,-165.0,None,success,2026/03/09
2026-03-09,invast,USD/JPY,トライオートFX,1.0,136.0,-211.0,,success,2026/03/09
2026-03-09,jfx,USD/JPY,JFX,1.0,132.0,-162.0,None,success,2026/03/09
2026-03-09,sbi,USD/JPY,SBI FXトレード,None,None,None,None,error,None
2026-03-09,traders_light,USD/JPY,LIGHT FX,1.0,144.0,-144.0,None,success,2026/03/09
2026-03-09,traders_min,USD/JPY,みんなのFX,1.0,144.0,-144.0,None,success,2026/03/09
2026-03-10,central_tanshi,USD/JPY,セントラル短資FX,1.0,,,,error,
2026-03-10,dmm,USD/JPY,DMM FX,1.0,133.0,-136.0,None,success,2026/03/10
2026-03-10,gaitame,USD/JPY,外為どっとコム,1.0,130.0,-160.0,,success,2026/03/10
2026-03-10,gmo,USD/JPY,GMO外貨,1.0,145.0,-145.0,,success,2026/03/10
2026-03-10,gmo_click,USD/JPY,GMOクリック証券,1.0,138.0,-138.0,None,success,2026/03/10
2026-03-10,hirose,USD/JPY,ヒロセ通商,1.0,133.0,-163.0,None,success,2026/03/10
2026-03-10,invast,USD/JPY,トライオートFX,1.0,136.0,-211.0,,success,2026/03/10
2026-03-10,jfx,USD/JPY,JFX,1.0,132.0,-162.0,None,success,2026/03/10
2026-03-10,sbi,USD/JPY,SBI FXトレード,1.0,131.0,-139.0,03月12日,success,2026/03/10
2026-03-10,traders_light,USD/JPY,LIGHT FX,1.0,145.0,-145.0,None,success,2026/03/10
2026-03-10,traders_min,USD/JPY,みんなのFX,1.0,,,,success,2026/03/10
2026-03-11,central_tanshi,USD/JPY,セントラル短資FX,1.0,,,,error,
2026-03-11,dmm,USD/JPY,DMM FX,1.0,135.0,-138.0,None,success,2026/03/11
2026-03-11,gaitame,USD/JPY,外為どっとコム,1.0,130.0,-160.0,,success,2026/03/11
2026-03-11,gmo,USD/JPY,GMO外貨,1.0,140.0,-140.0,,success,2026/03/11
2026-03-11,gmo_click,USD/JPY,GMOクリック証券,3.0,137.0,-137.0,None,success,2026/03/11
2026-03-11,hirose,USD/JPY,ヒロセ通商,1.0,132.0,-162.0,,success,2026/03/11
2026-03-11,invast,USD/JPY,トライオートFX,1.0,145.0,-220.0,,success,2026/03/11
2026-03-11,jfx,USD/JPY,JFX,1.0,132.0,-162.0,,success,2026/03/11
2026-03-11,sbi,USD/JPY,SBI FXトレード,1.0,131.0,-139.0,None,success,2026/03/11
2026-03-11,traders_light,USD/JPY,LIGHT FX,3.0,140.0,-140.0,None,success,2026/03/11
2026-03-11,traders_min,USD/JPY,みんなのFX,3.0,140.0,-140.0,None,success,2026/03/11
2026-03-12,central_tanshi,USD/JPY,セントラル短資FX,1.0,140.0,-239.0,3/13,success,2026/03/12
2026-03-12,dmm,USD/JPY,DMM FX,3.0,135.0,-138.0,None,success,2026/03/12
2026-03-12,gaitame,USD/JPY,外為どっとコム,1.0,137.0,-167.0,None,success,2026/03/12
2026-03-12,gmo,USD/JPY,GMO外貨,1.0,137.0,-137.0,None,success,2026/03/12
2026-03-12,gmo_click,USD/JPY,GMOクリック証券,1.0,163.0,-163.0,None,success,2026/03/12
2026-03-12,hirose,USD/JPY,ヒロセ通商,1.0,134.0,-164.0,None,success,2026/03/12
2026-03-12,invast,USD/JPY,トライオートFX,1.0,145.0,-220.0,None,success,2026/03/12
2026-03-12,jfx,USD/JPY,JFX,1.0,132.0,-167.0,None,success,2026/03/12
2026-03-12,sbi,USD/JPY,SBI FXトレード,None,None,None,None,error,None
2026-03-12,traders_light,USD/JPY,LIGHT FX,1.0,145.0,-145.0,None,success,2026/03/12
2026-03-12,traders_min,USD/JPY,みんなのFX,1.0,145.0,-145.0,None,success,2026/03/12
2026-03-13,central_tanshi,USD/JPY,セントラル短資FX,1.0,140.0,-239.0,3/16,success,2026/03/13
2026-03-13,dmm,USD/JPY,DMM FX,1.0,135.0,-138.0,None,success,2026/03/13
2026-03-13,gaitame,USD/JPY,外為どっとコム,1.0,145.0,-175.0,None,success,2026-03-13
2026-03-13,gmo,USD/JPY,GMO外貨,1.0,145.0,None,None,error,2026/03/13
2026-03-13,gmo_click,USD/JPY,GMOクリック証券,1.0,137.0,-137.0,None,success,2026/03/13
2026-03-13,hirose,USD/JPY,ヒロセ通商,1.0,134.0,-164.0,None,success,2026/03/13
2026-03-13,invast,USD/JPY,トライオートFX,1.0,146.0,-221.0,None,success,2026/03/13
2026-03-13,jfx,USD/JPY,JFX,1.0,None,None,None,error,None
2026-03-13,saxo,USD/JPY,サクソバンク証券,1.0,,,None,error,None
2026-03-13,sbi,USD/JPY,SBI FXトレード,1.0,132.0,-140.0,03月17日,success,2026/03/13
2026-03-13,traders_light,USD/JPY,LIGHT FX,1.0,148.0,-148.0,None,success,2026/03/13
2026-03-13,traders_min,USD/JPY,みんなのFX,1.0,148.0,-148.0,03/13,success,2026/03/13
2026-03-16,central_tanshi,USD/JPY,セントラル短資FX,1.0,None,None,None,error,None
2026-03-16,dmm,USD/JPY,DMM FX,1.0,134.0,-137.0,None,success,2026/03/16
2026-03-16,gaitame,USD/JPY,外為どっとコム,1.0,145.0,-175.0,None,success,2026/03/16
2026-03-16,gmo,USD/JPY,GMO外貨,1.0,148.0,-148.0,3月16日(月),success,2026/03/16
2026-03-16,gmo_click,USD/JPY,GMOクリック証券,1.0,139.0,-139.0,None,success,2026/03/16
2026-03-16,hirose,USD/JPY,ヒロセ通商,1.0,134.0,-169.0,None,success,2026/03/16
2026-03-16,invast,USD/JPY,トライオートFX,1.0,150.0,-225.0,None,success,2026/03/16
2026-03-16,jfx,USD/JPY,JFX,1.0,134.0,-164.0,None,success,2026/03/16
2026-03-16,sbi,USD/JPY,SBI FXトレード,None,None,None,None,error,None
2026-03-16,traders_light,USD/JPY,LIGHT FX,1.0,148.0,-148.0,None,success,2026/03/16
2026-03-16,traders_min,USD/JPY,みんなのFX,1.0,148.0,-148.0,03/16,success,2026/03/16
2026-03-17,central_tanshi,USD/JPY,セントラル短資FX,1.0,148.0,-247.0,3/18,success,2026/03/17
2026-03-17,dmm,USD/JPY,DMM FX,1.0,134.0,-137.0,None,success,2026/03/17
2026-03-17,gaitame,USD/JPY,外為どっとコム,1.0,None,None,None,error,None
2026-03-17,gmo,USD/JPY,GMO外貨,1.0,148.0,-148.0,None,success,2026/03/17
2026-03-17,gmo_click,USD/JPY,GMOクリック証券,1.0,None,None,None,error,None
2026-03-17,hirose,USD/JPY,ヒロセ通商,1.0,134.0,-164.0,None,success,2026/03/17
2026-03-17,invast,USD/JPY,トライオートFX,1.0,150.0,-225.0,None,success,2026/03/17
2026-03-17,jfx,USD/JPY,JFX,1.0,134.0,-164.0,None,success,2026/03/17
2026-03-17,sbi,USD/JPY,SBI FXトレード,None,None,None,None,error,None
2026-03-17,traders_light,USD/JPY,LIGHT FX,1.0,145.0,-145.0,03/17,success,2026/03/17
2026-03-17,traders_min,USD/JPY,みんなのFX,1.0,None,None,03/17,success,2026/03/17
2026-03-18,central_tanshi,USD/JPY,セントラル短資FX,1.0,148.0,-247.0,3/19,success,2026/03/18
2026-03-18,dmm,USD/JPY,DMM FX,1.0,136.0,-139.0,None,success,2026/03/18
2026-03-18,gaitame,USD/JPY,外為どっとコム,1.0,131.0,None,None,success,2026/03/18
2026-03-18,gmo,USD/JPY,GMO外貨,1.0,145.0,-145.0,None,success,2026/03/18
2026-03-18,gmo_click,USD/JPY,GMOクリック証券,1.0,138.0,-138.0,None,success,2026/03/18
2026-03-18,hirose,USD/JPY,ヒロセ通商,1.0,133.0,-163.0,None,success,2026/03/18
2026-03-18,invast,USD/JPY,トライオートFX,1.0,150.0,-225.0,None,success,2026/03/18
2026-03-18,jfx,USD/JPY,JFX,1.0,133.0,-163.0,None,success,2026/03/18
2026-03-18,sbi,USD/JPY,SBI FXトレード,None,None,None,None,error,None
2026-03-18,traders_light,USD/JPY,LIGHT FX,1.0,140.0,-140.0,None,success,2026/03/18
2026-03-18,traders_min,USD/JPY,みんなのFX,1.0,140.0,-140.0,None,success,2026/03/18
2026-03-19,central_tanshi,USD/JPY,セントラル短資FX,1.0,0.0,0.0,None,success,2026/03/19
2026-03-19,dmm,USD/JPY,DMM FX,1.0,134.0,-137.0,None,success,2026/03/19
2026-03-19,gaitame,USD/JPY,外為どっとコム,1.0,0.0,0.0,None,success,2026/03/19
2026-03-19,gmo,USD/JPY,GMO外貨,1.0,0.0,0.0,None,success,2026/03/19
2026-03-19,gmo_click,USD/JPY,GMOクリック証券,1.0,0.0,0.0,None,success,2026/03/19
2026-03-19,hirose,USD/JPY,ヒロセ通商,1.0,0.0,0.0,None,success,2026/03/19
2026-03-19,invast,USD/JPY,トライオートFX,1.0,0.0,0.0,None,success,2026/03/19
2026-03-19,jfx,USD/JPY,JFX,1.0,0.0,0.0,None,success,2026/03/19
2026-03-19,sbi,USD/JPY,SBI FXトレード,None,None,None,None,error,None
2026-03-19,traders_light,USD/JPY,LIGHT FX,1.0,None,None,None,error,None
2026-03-19,traders_min,USD/JPY,みんなのFX,1.0,None,None,None,success,2026/03/19
2026-03-23,central_tanshi,USD/JPY,セントラル短資FX,1.0,148.0,-247.0,3/24,success,2026/03/23
2026-03-23,dmm,USD/JPY,DMM FX,1.0,None,None,None,error,None
2026-03-23,gaitame,USD/JPY,外為どっとコム,1.0,133.0,-163.0,None,success,2026/03/23
2026-03-23,gmo,USD/JPY,GMO外貨,1.0,140.0,-140.0,None,success,2026/03/23
2026-03-23,gmo_click,USD/JPY,GMOクリック証券,1.0,140.0,-140.0,None,success,2026/03/23
2026-03-23,hirose,USD/JPY,ヒロセ通商,1.0,135.0,-165.0,None,success,2026/03/23
2026-03-23,invast,USD/JPY,トライオートFX,1.0,None,None,None,error,None
2026-03-23,jfx,USD/JPY,JFX,1.0,135.0,-165.0,None,success,2026/03/23
2026-03-23,sbi,USD/JPY,SBI FXトレード,None,None,None,None,error,None
2026-03-23,traders_light,USD/JPY,LIGHT FX,1.0,150.0,-150.0,None,success,2026/03/23
2026-03-23,traders_min,USD/JPY,みんなのFX,1.0,None,None,None,error,None
2026-03-24,central_tanshi,USD/JPY,セントラル短資FX,1.0,150.0,-249.0,None,success,2026/03/24
2026-03-24,dmm,USD/JPY,DMM FX,1.0,137.0,-140.0,None,success,2026/03/24
2026-03-24,gaitame,USD/JPY,外為どっとコム,1.0,133.0,-163.0,None,success,2026-03-24
2026-03-24,gmo,USD/JPY,GMO外貨,1.0,145.0,-145.0,None,success,2026/03/24
2026-03-24,gmo_click,USD/JPY,GMOクリック証券,1.0,140.0,-140.0,None,success,2026/03/24
2026-03-24,hirose,USD/JPY,ヒロセ通商,1.0,133.0,-163.0,None,success,2026/03/24
2026-03-24,invast,USD/JPY,トライオートFX,1.0,150.0,-225.0,None,success,2026/03/24
2026-03-24,jfx,USD/JPY,JFX,1.0,133.0,-163.0,None,success,2026/03/24
2026-03-24,sbi,USD/JPY,SBI FXトレード,1.0,133.0,-141.0,03月26日,success,2026/03/24
2026-03-24,traders_light,USD/JPY,LIGHT FX,1.0,145.0,-145.0,None,success,2026/03/24
2026-03-24,traders_min,USD/JPY,みんなのFX,1.0,145.0,-145.0,None,success,2026/03/24
2026-03-25,central_tanshi,USD/JPY,セントラル短資FX,3.0,150.0,-249.0,3/26,success,2026/03/25
2026-03-25,dmm,USD/JPY,DMM FX,1.0,137.0,-140.0,None,success,2026/03/25
2026-03-25,gaitame,USD/JPY,外為どっとコム,3.0,133.0,-163.0,None,success,2026/03/25
2026-03-25,gmo,USD/JPY,GMO外貨,3.0,145.0,-145.0,None,success,2026/03/25
2026-03-25,gmo_click,USD/JPY,GMOクリック証券,3.0,139.0,-139.0,None,success,2026/03/25
2026-03-25,hirose,USD/JPY,ヒロセ通商,3.0,133.0,-163.0,None,success,2026/03/25
2026-03-25,jfx,USD/JPY,JFX,3.0,133.0,-163.0,None,success,2026/03/25
2026-03-25,sbi,USD/JPY,SBI FXトレード,1.0,133.0,-141.0,None,success,2026/03/25
2026-03-25,traders_light,USD/JPY,LIGHT FX,3.0,150.0,-150.0,None,success,2026/03/25
2026-03-25,traders_min,USD/JPY,みんなのFX,3.0,150.0,-150.0,None,success,2026/03/25
2026-03-26,dmm,USD/JPY,DMM FX,3.0,137.0,-140.0,None,success,2026/03/26
2026-03-26,gaitame,USD/JPY,外為どっとコム,1.0,133.0,-163.0,None,success,2026/03/26
2026-03-26,gmo,USD/JPY,GMO外貨,1.0,154.0,-154.0,None,success,2026/03/26
2026-03-26,gmo_click,USD/JPY,GMOクリック証券,1.0,138.0,-138.0,None,success,2026/03/26
2026-03-26,hirose,USD/JPY,ヒロセ通商,1.0,135.0,-170.0,None,success,2026/03/26
2026-03-26,sbi,USD/JPY,SBI FXトレード,None,None,None,None,error,None
2026-03-26,traders_light,USD/JPY,LIGHT FX,1.0,150.0,-150.0,None,success,2026/03/26
2026-03-26,traders_min,USD/JPY,みんなのFX,1.0,None,None,None,error,None
2026-03-27,gmo_click,USD/JPY,GMOクリック証券,1.0,None,None,None,error,None
2026-03-31,central_tanshi,USD/JPY,セントラル短資FX,1.0,165.0,-264.0,4/1,success,2026/03/31
2026-03-31,dmm,USD/JPY,DMM FX,1.0,137.0,-140.0,None,success,2026/03/31
2026-03-31,gaitame,USD/JPY,外為どっとコム,1.0,135.0,-165.0,None,success,2026/03/31
2026-03-31,gmo,USD/JPY,GMO外貨,1.0,169.0,-169.0,None,success,2026/03/31
2026-03-31,gmo_click,USD/JPY,GMOクリック証券,1.0,141.0,-141.0,None,success,2026/03/31
2026-03-31,hirose,USD/JPY,ヒロセ通商,1.0,124.0,-154.0,None,success,2026/03/31
2026-03-31,invast,USD/JPY,トライオートFX,1.0,170.0,-245.0,None,success,2026/03/31
2026-03-31,jfx,USD/JPY,JFX,1.0,124.0,-154.0,None,success,2026/03/31
2026-03-31,sbi,USD/JPY,SBI FXトレード,1.0,135.0,-143.0,04月02日,success,2026/03/31
2026-03-31,traders_light,USD/JPY,LIGHT FX,1.0,165.0,-165.0,None,success,2026/03/31
2026-03-31,traders_min,USD/JPY,みんなのFX,1.0,165.0,-165.0,None,success,2026/03/31
2026-04-01,central_tanshi,USD/JPY,セントラル短資FX,1.0,165.0,-264.0,4/2,success,2026/04/01
2026-04-01,dmm,USD/JPY,DMM FX,1.0,139.0,-142.0,None,success,2026/04/01
2026-04-01,gaitame,USD/JPY,外為どっとコム,1.0,134.0,-164.0,None,success,2026/04/01
2026-04-01,gmo,USD/JPY,GMO外貨,1.0,165.0,None,None,success,2026/04/01
2026-04-01,gmo_click,USD/JPY,GMOクリック証券,3.0,139.0,-139.0,None,success,2026/04/01
2026-04-01,hirose,USD/JPY,ヒロセ通商,3.0,124.0,-154.0,None,success,2026/04/01
2026-04-01,invast,USD/JPY,トライオートFX,1.0,170.0,-245.0,None,success,2026/04/01
2026-04-01,jfx,USD/JPY,JFX,3.0,124.0,-154.0,None,success,2026/04/01
2026-04-01,sbi,USD/JPY,SBI FXトレード,1.0,134.0,-142.0,04月03日,success,2026/04/01
2026-04-01,traders_light,USD/JPY,LIGHT FX,3.0,135.0,-135.0,None,success,2026/04/01
2026-04-01,traders_min,USD/JPY,みんなのFX,3.0,135.0,-135.0,None,success,2026/04/01
2026-04-03,central_tanshi,USD/JPY,セントラル短資FX,1.0,157.0,-256.0,4/6,success,2026/04/03
2026-04-03,dmm,USD/JPY,DMM FX,1.0,135.0,-138.0,None,success,2026/04/03
2026-04-03,gaitame,USD/JPY,外為どっとコム,1.0,131.0,-161.0,None,success,2026/04/03
2026-04-03,gmo,USD/JPY,GMO外貨,1.0,155.0,-155.0,None,success,2026/04/03
2026-04-03,gmo_click,USD/JPY,GMOクリック証券,1.0,140.0,-140.0,None,success,2026/04/03
2026-04-03,hirose,USD/JPY,ヒロセ通商,1.0,142.0,-172.0,None,success,2026/04/03
2026-04-03,invast,USD/JPY,トライオートFX,1.0,160.0,-235.0,None,success,2026/04/03
2026-04-03,jfx,USD/JPY,JFX,1.0,132.0,-162.0,None,success,2026/04/03
2026-04-03,sbi,USD/JPY,SBI FXトレード,1.0,132.0,-140.0,04月07日,success,2026/04/03
2026-04-03,traders_light,USD/JPY,LIGHT FX,None,150.0,-150.0,None,error,2026/04/03
2026-04-03,traders_min,USD/JPY,みんなのFX,1.0,150.0,-150.0,None,success,2026/04/03
2026-04-06,central_tanshi,USD/JPY,セントラル短資FX,1.0,157.0,-256.0,4/7,success,2026/04/06
2026-04-06,dmm,USD/JPY,DMM FX,1.0,135.0,-138.0,None,success,2026/04/06
